blad;nr;zin_id;start
1;1;45;0
1;2;304;4
1;3;42;5
1;4;300;2
1;5;77;4
1;6;424;3
1;7;420;6
1;8;309;6
1;9;403;5
1;10;301;2
1;11;5027;1
1;12;310;10
1;13;16;4
1;14;448;5
1;15;319;4
1;16;417;3
1;17;513;3
1;18;504;2
1;19;500;0
1;20;308;6
1;21;144;5
1;22;308;2
1;23;315;5
1;24;500;4
1;25;21;2
1;26;318;0
1;27;512;4
1;28;20;3
1;29;414;5
1;30;32;4
1;31;104;11
1;32;90;5
1;33;154;0
1;34;5008;2
1;35;120;5
1;36;310;2
1;37;466;3
1;38;514;4
1;39;305;9
1;40;446;2
1;41;108;6
1;42;24;4
1;43;142;2
1;44;5019;1
1;45;86;0
1;46;316;3
1;47;415;6
1;48;113;4
1;49;306;8
1;50;100;3
1;51;24;0
1;52;516;4
1;53;99;3
1;54;91;8
1;55;314;6
1;56;81;3
1;57;99;5
1;58;140;3
1;59;5025;2
1;60;498;2
1;61;322;3
1;62;427;10
1;63;81;8
1;64;49;5
1;65;416;3
1;66;469;0
1;67;5050;4
1;68;7;0
1;69;438;3
1;70;5045;0
1;71;121;10
1;72;497;2
1;73;501;3
1;74;334;0
1;75;73;6
1;76;402;9
1;77;56;3
1;78;97;2
2;1;324;7
2;2;505;6
2;3;339;5
2;4;65;3
2;5;305;6
2;6;494;3
2;7;130;0
2;8;461;3
2;9;5049;2
2;10;29;3
2;11;312;9
2;12;5042;3
2;13;129;0
2;14;76;6
2;15;34;3
2;16;5034;4
2;17;118;3
2;18;88;2
2;19;515;3
2;20;315;1
2;21;5038;3
2;22;327;9
2;23;27;0
2;24;29;5
2;25;442;3
2;26;448;2
2;27;35;2
2;28;128;0
2;29;328;8
2;30;136;2
2;31;453;2
2;32;47;0
2;33;151;6
2;34;508;0
2;35;84;3
2;36;507;4
2;37;322;5
2;38;126;4
2;39;510;0
2;40;317;0
2;41;83;2
2;42;15;6
2;43;133;4
2;44;309;4
2;45;485;0
2;46;115;6
2;47;122;6
2;48;62;3
2;49;311;12
2;50;67;2
