zin_id;start;annotatie;goedgekeurd;drex_alleen_labels;conf_alleen_labels;p_goedgekeurd_alleen_labels;verificatie_noul
1;0;ow;ow;ow;0.9917;0.9929;0.9764
1;4;bwb;bwb;bwb;0.9696;0.9739;0.9401
1;5;bwb;bwb;bwb;0.9417;0.9500;0.9038
1;6;lv;lv;lv;0.3968;0.4830;0.8529
1;8;bwb;bwb;bwb;0.6116;0.6671;0.8951
2;0;bwb;bwb;bwb;0.9229;0.9339;0.8721
2;7;ow;ow;ow;0.6676;0.7151;0.8233
3;1;ow;ow;ow;0.9755;0.9790;0.8703
3;2;lv;lv;lv;0.4955;0.5676;0.8388
3;6;bwb;bwb;bwb;0.9452;0.9530;0.6492
4;1;ow;ow;ow;0.9845;0.9867;0.8333
4;2;bwb;bwb;bwb;0.9395;0.9481;0.6981
4;3;bwb;bwb;bwb;0.8702;0.8888;0.5132
4;4;lv;lv;lv;0.4300;0.5114;0.8575
5;0;bwb;bwb;bwb;0.8764;0.8941;0.8301
5;4;bwb;bwb;bwb;0.9646;0.9697;0.8732
5;6;ow;ow;ow;0.6591;0.7078;0.7787
6;0;ow;ow;ow;0.9944;0.9952;0.9834
6;3;lv;lv;lv;0.7142;0.7550;0.9170
6;6;bwb;bwb;bwb;0.6940;0.7377;0.8700
7;0;ow;ow;ow;0.8913;0.9068;0.9310
7;3;bwb;bwb;bwb;0.9248;0.9355;0.9061
7;5;lv;lv;lv;0.2179;0.3296;0.6763
8;0;bwb;bwb;bwb;0.8219;0.8473;0.8587
8;4;ow;ow;ow;0.9654;0.9703;0.9368
9;1;ow;ow;ow;0.9122;0.9247;0.9237
9;2;lv;lv;lv;0.4057;0.4906;0.5719
9;3;bwb;bwb;bwb;0.9814;0.9840;0.8514
9;4;bwb;bwb;bwb;0.9602;0.9659;0.7137
10;0;bwb;bwb;bwb;0.8640;0.8834;0.8852
10;4;ow;ow;ow;0.9885;0.9902;0.9392
10;5;bwb;bwb;bwb;0.9898;0.9912;0.9593
10;6;lv;lv;lv;0.2988;0.3990;0.6651
11;0;bwb;bwb;bwb;0.7430;0.7797;0.7950
11;4;ow;ow;ow;0.9471;0.9547;0.9363
11;5;lv;lv;lv;0.4573;0.5348;0.9201
12;0;ow;ow;ow;0.9619;0.9673;0.9426
12;3;bwb;bwb;bwb;0.9708;0.9750;0.7195
12;5;lv;lv;ow;0.3867;0.4363;0.7999
13;0;ow;ow;ow;0.9933;0.9943;0.9840
13;3;bwb;bwb;bwb;0.9913;0.9926;0.9566
13;4;lv;lv;ow;0.4119;0.4560;0.8616
14;0;bwb;bwb;bwb;0.8365;0.8599;0.8686
14;4;ow;ow;ow;0.8686;0.8874;0.9380
14;5;lv;lv;lv;0.5227;0.5909;0.9104
15;0;bwb;bwb;bwb;0.8866;0.9028;0.8787
15;4;ow;ow;ow;0.9407;0.9492;0.9292
15;5;bwb;bwb;bwb;0.9865;0.9884;0.8909
15;6;lv;lv;ow;0.8189;0.1224;0.6326
16;0;lv;lv;ow;0.4202;0.3277;0.7219
16;3;ow;ow;ow;0.8827;0.8994;0.8890
16;4;bwb;bwb;bwb;0.8614;0.8812;0.6032
17;0;lv;lv;lv;0.5372;0.6033;0.8999
17;3;ow;ow;ow;0.9430;0.9511;0.9623
17;4;bwb;bwb;bwb;0.9055;0.9190;0.6470
18;0;ow;ow;ow;0.9924;0.9934;0.9796
18;2;lv;lv;lv;0.5272;0.5947;0.7502
18;4;bwb;bwb;bwb;0.7912;0.8210;0.5174
19;0;bwb;bwb;bwb;0.8891;0.9049;0.8840
19;3;ow;ow;ow;0.9234;0.9344;0.9527
19;5;lv;lv;lv;0.6053;0.6617;0.9040
20;0;ow;ow;ow;0.9972;0.9976;0.9807
20;3;lv;lv;lv;0.5231;0.5912;0.8511
21;0;ow;ow;ow;0.9915;0.9927;0.9743
21;2;lv;lv;ow;0.4127;0.4545;0.9081
22;0;ow;ow;ow;0.9809;0.9837;0.9225
22;3;mv;mv;mv;0.4528;0.5310;0.8245
22;6;lv;lv;lv;0.6040;0.6606;0.7555
23;0;bwb;bwb;bwb;0.7500;0.7857;0.8958
23;4;ow;ow;ow;0.9778;0.9810;0.9630
23;5;lv;lv;lv;0.8250;0.8500;0.9191
24;0;mv;mv;mv;0.7631;0.7969;0.9145
24;4;ow;ow;mv;0.5098;0.2958;0.9393
24;5;lv;lv;lv;0.5519;0.6159;0.9036
25;0;ow;ow;ow;0.9967;0.9971;0.9762
25;3;bwb;bwb;bwb;0.9848;0.9870;0.8846
25;4;lv;lv;lv;0.7228;0.7624;0.8928
26;0;bwb;bwb;bwb;0.9687;0.9732;0.8663
26;2;ow;ow;ow;0.8972;0.9119;0.9364
26;4;lv;lv;ow;0.3533;0.4403;0.5944
27;0;ow;ow;ow;0.9972;0.9976;0.9909
27;3;lv;lv;lv;0.7560;0.7909;0.9057
28;0;ow;ow;ow;0.9827;0.9852;0.9494
28;2;lv;lv;lv;0.4501;0.5286;0.7736
28;4;bwb;bwb;vv;0.3501;0.3482;0.7415
29;0;ow;ow;ow;0.9703;0.9745;0.9541
29;3;lv;lv;lv;0.2296;0.3396;0.7132
29;5;mv;mv;vv;0.4782;0.1515;0.6421
30;0;bwb;bwb;bwb;0.8956;0.9105;0.8732
30;3;ow;ow;ow;0.9911;0.9924;0.9757
30;4;lv;lv;lv;0.4885;0.5616;0.8276
31;0;ow;ow;ow;0.9679;0.9724;0.9547
31;3;lv;lv;lv;0.4709;0.5465;0.7450
31;5;bwb;bwb;bwb;0.3821;0.4704;0.6271
32;0;bwb;bwb;bwb;0.9650;0.9700;0.9021
32;3;ow;ow;ow;0.9264;0.9369;0.9485
32;4;lv;lv;lv;0.5690;0.6305;0.9089
33;0;bwb;bwb;bwb;0.5967;0.6543;0.7518
33;4;ow;ow;ow;0.9822;0.9847;0.9514
33;5;lv;lv;lv;0.7834;0.8143;0.9141
34;0;ow;ow;ow;0.9856;0.9877;0.9252
34;3;lv;lv;ow;0.7252;0.1501;0.5779
35;0;lv;lv;lv;0.3915;0.4784;0.8279
35;2;ow;ow;lv;0.7130;0.1528;0.8441
36;0;bwb;bwb;bwb;0.5586;0.6217;0.6216
36;4;ow;ow;ow;0.6786;0.7245;0.8535
36;6;lv;lv;lv;0.3330;0.4283;0.6370
37;0;ow;ow;ow;0.9930;0.9940;0.9602
37;3;lv;lv;lv;0.6661;0.7138;0.8129
37;4;mv;mv;vv;0.3322;0.4211;0.8272
38;0;bwb;bwb;bwb;0.9595;0.9653;0.9220
38;2;ow;ow;ow;0.9511;0.9581;0.9182
38;4;lv;lv;ow;0.5321;0.3387;0.6684
39;0;ow;ow;ow;0.9913;0.9926;0.9487
39;3;lv;lv;lv;0.7552;0.7902;0.7850
39;5;mv;mv;vv;0.3570;0.3981;0.7240
40;0;ow;ow;ow;0.9866;0.9885;0.9847
40;3;lv;lv;lv;0.4225;0.5050;0.7352
41;0;ow;ow;ow;0.8762;0.8939;0.8841
41;3;mv;mv;mv;0.5504;0.6146;0.7799
41;6;lv;lv;lv;0.4403;0.5203;0.6784
42;0;bwb;bwb;bwb;0.9528;0.9595;0.8713
42;4;ow;ow;ow;0.9869;0.9888;0.9600
42;5;lv;lv;lv;0.6654;0.7132;0.7239
43;0;ow;ow;ow;0.9885;0.9902;0.9732
43;4;bwb;bwb;bwb;0.9779;0.9811;0.9023
43;6;bwb;bwb;bwb;0.6826;0.7280;0.8747
44;0;ow;ow;ow;0.9952;0.9959;0.9781
44;3;lv;lv;ow;0.5888;0.2511;0.8424
44;6;bwb;bwb;bwb;0.5706;0.6319;0.8798
45;0;ow;ow;ow;0.7918;0.8215;0.9006
45;3;ng;ng;ng;0.6718;0.7187;0.5918
46;0;ow;ow;ow;0.9963;0.9969;0.9804
46;2;bwb;bwb;bwb;0.9657;0.9706;0.9420
46;3;lv;lv;lv;0.7399;0.7771;0.9044
46;4;bwb;bwb;bwb;0.5761;0.6367;0.7638
47;0;ow;ow;ow;0.9827;0.9852;0.9543
47;3;bwb;bwb;bwb;0.9341;0.9435;0.8021
47;4;ng;ng;ng;0.9265;0.9370;0.7534
48;0;ow;ow;ow;0.9875;0.9893;0.9656
48;3;lv;lv;ow;0.4407;0.4498;0.8630
48;6;bwb;bwb;bwb;0.7977;0.8266;0.7294
49;0;ow;ow;ow;0.9967;0.9972;0.9814
49;3;bwb;bwb;bwb;0.9757;0.9792;0.8920
49;5;lv;lv;lv;0.6104;0.6661;0.9041
50;0;ow;ow;ow;0.9825;0.9850;0.8886
50;3;bwb;bwb;bwb;0.8747;0.8926;0.9031
50;6;bwb;bwb;bwb;0.9903;0.9917;0.8972
50;7;ng;ng;ng;0.9235;0.9345;0.7110
51;0;ow;ow;ow;0.9971;0.9975;0.9825
51;3;lv;lv;lv;0.7620;0.7960;0.8742
52;0;ow;ow;ow;0.9928;0.9938;0.9678
52;3;lv;lv;lv;0.7166;0.7571;0.8362
52;5;bwb;bwb;bwb;0.9772;0.9805;0.8810
53;0;ow;ow;ow;0.9922;0.9933;0.9534
53;2;lv;lv;lv;0.8129;0.8396;0.8490
54;0;ow;ow;ow;0.9950;0.9957;0.9865
54;2;lv;lv;lv;0.5525;0.6164;0.8970
54;4;bwb;bwb;bwb;0.8728;0.8910;0.9205
55;0;ow;ow;ow;0.9881;0.9898;0.9832
55;3;lv;lv;lv;0.8680;0.8869;0.8588
56;0;ow;ow;ow;0.9800;0.9829;0.9610
56;3;lv;lv;ow;0.5406;0.2154;0.6425
56;5;bwb;bwb;bwb;0.9590;0.9649;0.8969
57;0;ow;ow;ow;0.9953;0.9959;0.9843
57;2;lv;lv;lv;0.6155;0.6704;0.8761
58;0;ow;ow;ow;0.9821;0.9847;0.9625
58;2;lv;lv;lv;0.5136;0.5831;0.9161
58;4;bwb;bwb;bwb;0.5228;0.5910;0.6331
59;0;ow;ow;ow;0.9625;0.9679;0.9653
59;3;lv;lv;lv;0.5177;0.5866;0.7836
60;0;ow;ow;ow;0.9606;0.9663;0.9269
60;2;lv;lv;lv;0.7194;0.7595;0.8890
60;4;bwb;bwb;bwb;0.8129;0.8396;0.8511
61;0;ow;ow;ow;0.9562;0.9624;0.9624
61;2;vv;vv;vv;0.4739;0.5490;0.7828
62;0;ow;ow;ow;0.8409;0.8636;0.9190
62;3;bwb;bwb;vv;0.5440;0.1622;0.3103
62;6;lv;lv;lv;0.6380;0.6897;0.8686
62;8;bwb;bwb;bwb;0.6541;0.7035;0.8210
63;0;ow;ow;ow;0.9763;0.9797;0.9479
63;3;bwb;bwb;bwb;0.9890;0.9906;0.9039
63;4;ng;ng;ow;0.5506;0.2891;0.7537
64;0;ow;ow;ow;0.9949;0.9957;0.9452
64;2;ng;ng;ng;0.8972;0.9119;0.6685
65;0;ow;ow;ow;0.9849;0.9871;0.9564
65;3;lv;lv;lv;0.4855;0.5590;0.4149
65;5;bwb;bwb;bwb;0.9603;0.9660;0.8220
66;0;ow;ow;ow;0.7443;0.7809;0.9217
66;3;bwb;bwb;bwb;0.8610;0.8808;0.8962
66;7;bwb;bwb;bwb;0.4219;0.5045;0.5604
67;1;ow;ow;ow;0.9191;0.9307;0.8462
67;2;mv;mv;lv;0.8290;0.0505;0.5165
67;3;bwb;bwb;bwb;0.9755;0.9790;0.8097
67;4;lv;lv;lv;0.5448;0.6098;0.6543
68;0;bwb;bwb;bwb;0.8590;0.8791;0.8772
68;4;ow;ow;ow;0.5832;0.6427;0.8615
68;6;ng;ng;ng;0.8151;0.8415;0.6492
69;0;ow;ow;ow;0.9956;0.9962;0.9864
69;2;vv;vv;vv;0.3803;0.4689;0.7761
69;6;bwb;bwb;bwb;0.6608;0.7092;0.7108
70;0;ow;ow;ow;0.9738;0.9775;0.9097
70;3;bwb;bwb;bwb;0.9813;0.9840;0.8766
70;4;ng;ng;ng;0.7079;0.7496;0.5989
71;0;ow;ow;ow;0.9907;0.9920;0.9721
71;3;mv;mv;mv;0.3228;0.4196;0.8453
71;5;bwb;bwb;bwb;0.9810;0.9837;0.9510
71;6;lv;lv;lv;0.4819;0.5559;0.9067
72;0;ow;ow;ow;0.9739;0.9776;0.9397
72;3;bwb;bwb;bwb;0.8544;0.8752;0.8086
73;0;ow;ow;ow;0.9557;0.9620;0.9603
73;3;bwb;bwb;bwb;0.8190;0.8448;0.8161
73;6;ng;ng;ng;0.8881;0.9041;0.6638
74;0;ow;ow;ow;0.9946;0.9954;0.9801
74;3;bwb;bwb;bwb;0.9486;0.9560;0.9295
74;4;vv;vv;vv;0.6391;0.6906;0.8218
75;0;ow;ow;ow;0.9268;0.9373;0.9543
75;3;bwb;bwb;bwb;0.8701;0.8887;0.9139
75;4;lv;lv;lv;0.6321;0.6847;0.7019
76;0;bwb;bwb;bwb;0.9387;0.9474;0.9083
76;4;ow;ow;ow;0.8494;0.8709;0.9297
76;6;mv;mv;ow;0.7706;0.0635;0.7313
76;8;lv;lv;lv;0.5894;0.6480;0.8972
77;0;ow;ow;ow;0.9768;0.9801;0.9593
77;3;ng;ng;ng;0.7196;0.7596;0.5370
77;4;vv;vv;vv;0.6405;0.6919;0.8451
77;7;bwb;bwb;bwb;0.8635;0.8830;0.8963
78;0;bwb;bwb;bwb;0.9188;0.9304;0.7065
78;2;ow;ow;ow;0.9699;0.9742;0.8833
78;4;mv;mv;lv;0.4469;0.3951;0.7947
78;6;bwb;bwb;bwb;0.8355;0.8590;0.9235
78;9;lv;lv;lv;0.5144;0.5838;0.8806
79;0;ow;ow;ow;0.9121;0.9247;0.8478
79;4;bwb;bwb;bwb;0.8140;0.8406;0.6940
79;7;ng;ng;ng;0.4545;0.5324;0.5198
80;0;bwb;bwb;bwb;0.9884;0.9901;0.9278
80;2;ow;ow;ow;0.9362;0.9453;0.9601
80;4;bwb;bwb;bwb;0.6543;0.7037;0.8142
80;7;lv;lv;ow;0.4823;0.3245;0.6905
81;0;ow;ow;ow;0.9787;0.9817;0.9379
81;3;lv;lv;ow;0.4778;0.2740;0.6294
81;5;bwb;bwb;bwb;0.8323;0.8562;0.9164
81;8;ng;ng;ng;0.3098;0.4084;0.6707
82;0;bwb;bwb;bwb;0.8184;0.8444;0.8632
82;4;ow;ow;ow;0.5012;0.5724;0.8326
82;6;bwb;bwb;bwb;0.6825;0.7279;0.4847
83;1;ow;ow;ow;0.9252;0.9359;0.8228
83;2;mv;mv;lv;0.8328;0.0446;0.4783
83;3;bwb;bwb;bwb;0.9795;0.9824;0.9386
83;4;bwb;bwb;bwb;0.9819;0.9845;0.7219
83;5;lv;lv;lv;0.6895;0.7339;0.7928
84;0;ow;ow;ow;0.9924;0.9935;0.9663
84;3;mv;mv;ow;0.6324;0.1505;0.7103
84;5;lv;lv;lv;0.7132;0.7542;0.9423
84;7;bwb;bwb;bwb;0.9722;0.9762;0.8873
85;0;bwb;bwb;bwb;0.9022;0.9161;0.9047
85;4;ow;ow;ow;0.9740;0.9777;0.8436
85;5;lv;lv;ow;0.5396;0.2847;0.6082
85;6;bwb;bwb;bwb;0.7535;0.7887;0.7949
85;7;bwb;bwb;vv;0.4518;0.2183;0.5713
86;0;ow;ow;ow;0.8481;0.8698;0.9293
86;4;bwb;bwb;bwb;0.8743;0.8923;0.8781
86;7;ng;ng;ng;0.4348;0.5155;0.5955
86;9;bwb;bwb;bwb;0.8054;0.8332;0.6662
87;1;ow;ow;ow;0.9115;0.9242;0.8607
87;2;mv;mv;mv;0.3916;0.4785;0.7263
87;3;bwb;bwb;bwb;0.9105;0.9233;0.9196
87;4;bwb;bwb;bwb;0.9700;0.9743;0.8693
87;5;lv;lv;lv;0.5681;0.6298;0.7812
88;0;ow;ow;ow;0.9969;0.9974;0.9878
88;2;bwb;bwb;bwb;0.8518;0.8729;0.8582
88;4;lv;lv;ow;0.7089;0.1888;0.6139
89;0;ow;ow;ow;0.9672;0.9719;0.9419
89;3;bwb;bwb;bwb;0.6474;0.6978;0.8545
89;6;ng;ng;ng;0.8986;0.9131;0.7317
90;0;ow;ow;ow;0.9635;0.9688;0.9405
90;5;ng;ng;ow;0.2881;0.3074;0.7026
91;0;ow;ow;ow;0.9809;0.9836;0.9447
91;3;lv;lv;ow;0.4521;0.3450;0.7368
91;5;bwb;bwb;bwb;0.5103;0.5803;0.7780
91;8;vv;vv;ng;0.4521;0.1428;0.6036
92;0;ow;ow;ow;0.9788;0.9818;0.9758
92;4;lv;lv;lv;0.4473;0.5262;0.8202
93;0;bwb;bwb;bwb;0.6112;0.6667;0.6825
93;4;ow;ow;ow;0.8588;0.8790;0.8925
93;5;bwb;bwb;bwb;0.6691;0.7163;0.6810
93;7;vv;vv;vv;0.3405;0.4347;0.7771
94;0;ow;ow;ow;0.9549;0.9614;0.9294
94;3;mv;mv;lv;0.4314;0.2625;0.4981
94;4;lv;lv;ow;0.4542;0.2814;0.6951
95;0;bwb;bwb;bwb;0.7433;0.7800;0.8726
95;3;ow;ow;ow;0.8679;0.8868;0.8280
95;5;bwb;bwb;bwb;0.6670;0.7146;0.8341
95;9;ng;ng;ng;0.9201;0.9315;0.7079
96;0;ow;ow;ow;0.9206;0.9320;0.9595
96;3;bwb;bwb;bwb;0.9852;0.9873;0.8535
96;4;ng;ng;ng;0.6249;0.6785;0.8111
97;0;ow;ow;ow;0.9892;0.9907;0.9771
97;2;vv;vv;vv;0.3307;0.4263;0.8011
98;0;ow;ow;ow;0.9669;0.9717;0.9546
98;6;bwb;bwb;bwb;0.9606;0.9662;0.8383
98;9;ng;ng;ng;0.7941;0.8235;0.6737
99;0;ow;ow;ow;0.9768;0.9801;0.9550
99;3;mv;mv;mv;0.6971;0.7403;0.7955
99;5;bwb;bwb;ng;0.1638;0.2823;0.4588
99;6;lv;lv;lv;0.6670;0.7146;0.8854
100;0;ow;ow;ow;0.9933;0.9943;0.9711
100;3;vv;vv;bwb;0.3966;0.3418;0.7274
101;0;ow;ow;ow;0.9320;0.9417;0.9500
101;4;ng;ng;ng;0.6288;0.6818;0.5725
102;0;ow;ow;ow;0.9835;0.9859;0.9696
102;3;bwb;bwb;bwb;0.9791;0.9820;0.9463
102;4;mv;mv;mv;0.3339;0.4291;0.9139
102;7;lv;lv;lv;0.4538;0.5318;0.8886
103;0;bwb;bwb;bwb;0.6151;0.6700;0.6641
103;5;ow;ow;ow;0.8977;0.9124;0.8906
103;7;bwb;bwb;bwb;0.8645;0.8838;0.8735
103;10;ng;ng;ng;0.7486;0.7845;0.5332
104;0;bwb;bwb;bwb;0.7801;0.8115;0.6153
104;4;ow;ow;ow;0.9691;0.9735;0.9544
104;6;lv;lv;ow;0.7045;0.2110;0.6829
104;9;bwb;bwb;bwb;0.9783;0.9814;0.8723
104;10;bwb;bwb;bwb;0.8854;0.9017;0.7555
104;11;bwb;bwb;ng;0.3879;0.0206;0.4655
105;0;ow;ow;ow;0.9864;0.9883;0.9644
105;3;bwb;bwb;bwb;0.9206;0.9319;0.8563
105;5;vv;vv;vv;0.4075;0.4922;0.7058
106;0;bwb;bwb;bwb;0.8797;0.8969;0.8818
106;4;ow;ow;ow;0.9417;0.9501;0.9086
106;6;lv;lv;lv;0.5038;0.5747;0.8467
107;0;ow;ow;ow;0.9912;0.9924;0.9524
107;3;vv;vv;vv;0.3178;0.4153;0.7891
108;0;ow;ow;ow;0.8910;0.9066;0.8741
108;6;bwb;bwb;bwb;0.2297;0.3397;0.4745
108;8;bwb;bwb;bwb;0.8458;0.8679;0.8799
108;11;ng;ng;ng;0.7796;0.8110;0.6096
109;0;bwb;bwb;ow;0.2890;0.3184;0.6774
109;7;ow;ow;ow;0.9684;0.9729;0.9427
109;9;bwb;bwb;bwb;0.9664;0.9712;0.9421
109;10;lv;lv;lv;0.4318;0.5129;0.8815
110;0;ow;ow;ow;0.9367;0.9457;0.9259
110;6;bwb;bwb;vv;0.2926;0.2308;0.4586
110;9;ng;ng;ng;0.5679;0.6296;0.7089
111;0;ow;ow;ow;0.9843;0.9865;0.9423
111;3;bwb;bwb;bwb;0.9859;0.9879;0.8189
111;5;ng;ng;ng;0.9397;0.9483;0.7516
112;0;ow;ow;ow;0.9676;0.9723;0.9637
112;6;bwb;bwb;bwb;0.9725;0.9764;0.8628
112;9;ng;ng;ng;0.8328;0.8567;0.6614
113;0;ow;ow;ow;0.8846;0.9011;0.9513
113;4;ng;ng;ow;0.5004;0.2741;0.7743
114;0;ow;ow;ow;0.9316;0.9414;0.9105
114;3;bwb;bwb;bwb;0.8545;0.8752;0.8458
114;6;ng;ng;ng;0.5822;0.6419;0.7634
115;0;ow;ow;ow;0.9247;0.9355;0.9423
115;6;bwb;bwb;bwb;0.8457;0.8677;0.8121
115;9;ng;ng;ng;0.9321;0.9418;0.7561
116;0;ow;ow;ow;0.6823;0.7277;0.8745
116;3;bwb;bwb;vv;0.4099;0.2568;0.6074
116;5;ng;ng;ng;0.4930;0.5654;0.7894
117;0;ow;ow;ow;0.8570;0.8774;0.9010
117;4;bwb;bwb;vv;0.2779;0.3147;0.5150
117;7;ng;ng;ng;0.7247;0.7640;0.6618
118;0;ow;ow;ow;0.7099;0.7514;0.9085
118;3;bwb;bwb;vv;0.3265;0.1562;0.6079
118;5;ng;ng;ng;0.3780;0.4669;0.8429
119;0;ow;ow;ow;0.9116;0.9242;0.9602
119;6;ng;ng;ng;0.5240;0.5920;0.7003
120;0;ow;ow;ow;0.9657;0.9706;0.9636
120;3;bwb;bwb;bwb;0.9643;0.9694;0.8882
120;5;ng;ng;ow;0.2459;0.3052;0.7540
121;0;ow;ow;ow;0.8872;0.9033;0.9158
121;6;bwb;bwb;bwb;0.9405;0.9490;0.8579
121;10;ng;ng;ng;0.6650;0.7129;0.5603
122;0;ow;ow;ow;0.8959;0.9108;0.9295
122;3;bwb;bwb;bwb;0.3740;0.4634;0.4935
122;6;ng;ng;ow;0.3232;0.1637;0.7861
123;0;ow;ow;ow;0.9209;0.9322;0.9259
123;6;bwb;bwb;bwb;0.7921;0.8218;0.8400
123;9;ng;ng;ng;0.8602;0.8801;0.6921
124;0;ow;ow;ow;0.8211;0.8467;0.9191
124;3;bwb;bwb;bwb;0.8745;0.8924;0.8961
124;6;ng;ng;ng;0.7032;0.7456;0.6963
125;1;lv;lv;lv;0.4420;0.5217;0.8174
125;3;bwb;bwb;bwb;0.8718;0.8901;0.8164
126;1;lv;lv;lv;0.4365;0.5170;0.7536
126;3;bwb;bwb;bwb;0.9438;0.9518;0.7528
126;4;bwb;bwb;vv;0.4278;0.0935;0.5762
